sample	fasta	role
CHM13	Resources/hprc10/CHM13.fa.gz	reference
GRCh38	Resources/hprc10/GRCh38.fa.gz	reference
HG00438.1	Resources/hprc10/HG00438.1.fa.gz	query
HG00438.2	Resources/hprc10/HG00438.2.fa.gz	query
HG00621.1	Resources/hprc10/HG00621.1.fa.gz	query
HG00621.2	Resources/hprc10/HG00621.2.fa.gz	query
HG00673.1	Resources/hprc10/HG00673.1.fa.gz	query
HG00673.2	Resources/hprc10/HG00673.2.fa.gz	query
HG00733.1	Resources/hprc10/HG00733.1.fa.gz	query
HG00733.2	Resources/hprc10/HG00733.2.fa.gz	query
